# Pos,Name,Age,Rookie Year,Pot,FIQ,Dur,Stat1,Stat2,Stat3,Contract Money, Contract Years
#AMNOR
Baltimore Ruckus,BAL
QB,Darryl Tapp,23,2015,78,47,90,91,68,70,0.6,4
QB,Eli Gentry,36,2002,50,79,80,77,73,20,3.3,2
RB,Dan Benson,26,2012,60,69,93,54,91,86,1.3,1
RB,Kevin Wallace,24,2014,63,62,85,85,90,57,0.6,1
RB,Simon Weaver,29,2010,98,79,79,86,90,77,3.7,3
RB,Alistair England,23,2015,83,56,76,90,85,60,0.7,4
WR,Bruce Hudson,27,2011,71,71,90,74,91,88,0.7,1
WR,Matteo Briggs,31,2008,71,80,88,81,82,47,1.6,2
WR,Renfro Arias,22,2015,88,58,88,80,89,76,1.4,4
WR,Xander Hopkins,27,2011,80,76,87,78,84,72,0.5,1
WR,Lewis Church,23,2014,87,48,83,80,86,58,1.3,4
OL,Layton Snyder,22,2015,64,45,93,82,71,82,0.5,2
OL,Lachlan Tran,25,2013,81,63,95,85,81,73,0.6,4
OL,Kyle Schmidt,28,2011,60,73,90,80,76,82,2.8,2
OL,Tony Coffey,25,2014,87,72,85,86,84,72,0.9,4
OL,Max McCullough,25,2014,83,54,76,93,83,76,0.7,4
OL,Connor Phillips,25,2014,62,60,84,77,80,75,0.5,3
OL,Yasin Houston,26,2013,76,70,87,79,79,76,1.3,1
OL,Leo Sparks,27,2012,60,77,91,79,78,76,1,1
OL,Germain Ifedi,22,2016,90,65,85,85,90,83,2.1,4
K,Philip Harmon,34,2006,54,87,88,89,94,69,2.5,4
K,Benjamin Carroll,22,2015,78,55,92,91,78,74,0.6,4
S,Floyd Noble,25,2014,87,62,93,75,93,80,1.3,4
S,Evan Tate,29,2008,76,81,84,85,94,74,4,2
CB,Dean Lara,31,2008,65,75,92,74,92,44,0.8,1
CB,Lloyd McClure,23,2015,83,51,90,82,95,74,0.8,4
CB,Jenson Carey,24,2014,65,77,93,91,86,45,0.6,4
CB,Omar Carpenter,25,2013,91,79,96,94,93,42,2,4
CB,Saul Moran,2012,75,82,97,104,91,63,15,5
